x,y,bombed,empty,0 0,0 1,0 2,1 0,1 1,1 2,2 0,2 1,2 2,
1,5,2777,15908,1,1,-2,-2,-2,-2,-2,-2,-2,
0,5,1314,54,-4,1,1,-4,-2,2,-4,-2,-2,
1,6,135,132,1,1,-2,2,-2,-2,-2,-2,-2,
1,4,0,28988,0,0,0,-2,-2,-2,-2,-2,-2,
0,4,0,35429,-4,0,0,-4,-2,0,-4,-2,-2,
3,6,0,21296,0,2,-2,0,-2,-2,0,-2,-2,
3,5,0,93713,0,2,-2,0,-2,-2,-2,-2,-2,
2,4,0,32681,0,0,2,0,-2,-2,-2,-2,-2,
0,3,0,16201,-4,0,0,-4,-2,2,-4,-2,-2,
2,3,0,15778,0,0,1,2,-2,-2,-2,-2,-2,
4,7,58,36,-4,-4,-4,2,-2,-2,2,-2,-2,
1,5,140,104,1,2,-2,1,-2,-2,-2,-2,-2,
1,6,0,234,0,-2,-2,0,-2,-2,-2,-2,-2,
1,7,0,53570,-4,-4,-4,0,-2,-2,0,1,-2,
2,6,105,81,1,1,-2,1,-2,-2,2,-2,-2,
0,5,110,47,-4,1,1,-4,-2,1,-4,-2,-2,
2,6,30,4,1,1,-2,1,-2,-2,3,-2,-2,
1,6,0,151,0,-2,-2,-2,-2,-2,-2,-2,-2,
1,7,0,12685,-4,-4,-4,0,-2,-2,-2,0,-2,
1,5,0,12599,0,0,1,-2,-2,-2,-2,-2,-2,
0,5,0,57790,-4,0,0,-4,-2,1,-4,-2,-2,
2,7,0,21912,-4,-4,-4,0,-2,-2,0,0,-2,
2,5,0,132577,0,0,1,0,-2,-2,-2,-2,-2,
2,7,0,14986,-4,-4,-4,0,-2,-2,0,2,-2,
1,5,0,2481,0,0,2,-2,-2,-2,-2,-2,-2,
1,7,0,3571,-4,-4,-4,0,-2,-2,-2,2,-2,
1,5,96,11,1,2,2,1,-2,-2,-2,-2,-2,
3,6,0,10204,0,-2,-2,0,-2,-2,0,-2,-2,
1,4,0,135178,1,1,0,-2,-2,-2,-2,-2,-2,
1,7,0,498,-4,-4,-4,0,-2,-2,-2,3,-2,
0,6,0,236,-4,0,2,-4,-2,3,-4,-2,-2,
2,7,37,12,-4,-4,-4,2,-2,-2,3,-2,-2,
1,7,305,980,-4,-4,-4,2,-2,-2,-2,-2,-2,
4,6,1791,6955,1,-2,-2,1,-2,-2,1,-2,-2,
1,7,0,11100,-4,-4,-4,0,-2,-2,-2,1,-2,
2,6,0,17967,0,0,-2,1,-2,-2,2,-2,-2,
0,5,0,41,-4,-2,0,-4,-2,-2,-4,-2,-2,
0,6,0,84,-4,0,0,-4,-2,0,-4,1,-2,
3,6,0,1871,0,-2,-2,0,-2,-2,2,-2,-2,
0,6,0,71,-4,0,0,-4,-2,0,-4,0,-2,
1,4,0,266,0,0,-2,-2,-2,-2,-2,-2,-2,
3,6,73,9,1,1,-2,2,-2,-2,2,-2,-2,
1,6,4988,43311,1,-2,-2,1,-2,-2,-2,-2,-2,
2,6,0,30830,0,0,-2,1,-2,-2,1,-2,-2,
3,4,0,11440,0,1,-2,0,-2,-2,2,-2,-2,
2,6,4805,40982,1,-2,-2,-2,-2,-2,-2,-2,-2,
1,6,0,618,0,1,-2,1,-2,2,-2,-2,-2,
2,7,46,3,-4,-4,-4,1,-2,-2,3,2,-2,
1,5,0,653,0,0,-2,1,-2,-2,-2,1,-2,
2,6,0,8044,0,-2,-2,0,-2,-2,1,-2,-2,
2,7,72,39,-4,-4,-4,1,-2,-2,1,1,-2,
2,5,0,4277,0,2,-2,1,-2,-2,1,-2,-2,
1,6,0,2114,0,1,-2,-2,-2,-2,-2,-2,-2,
0,6,0,15079,-4,0,1,-4,-2,1,-4,-2,-2,
1,7,9,14,-4,-4,-4,1,-2,-2,-2,1,-2,
2,6,0,365,0,1,-2,0,-2,2,-2,-2,-2,
2,5,0,23858,0,1,2,0,-2,-2,-2,-2,-2,
3,7,240,14,-4,-4,-4,1,-2,-2,1,2,-2,
1,7,141,727,-4,-4,-4,1,-2,-2,-2,2,-2,
7,7,29147,161438,-4,-4,-4,-2,-2,-4,-2,-2,-4,
6,7,0,117822,-4,-4,-4,-2,-2,0,-2,-2,-2,
6,6,0,213959,-2,0,0,-2,-2,-2,-2,-2,-2,
7,6,0,181846,0,0,-4,0,-2,-4,-2,-2,-4,
5,7,0,137707,-4,-4,-4,-2,-2,0,-2,-2,0,
5,6,0,273313,-2,1,0,-2,-2,0,-2,-2,-2,
5,5,1401,62940,-2,1,0,-2,-2,-2,-2,-2,-2,
6,5,0,29234,1,0,0,2,-2,-2,-2,-2,-2,
7,5,0,168756,0,0,-4,1,-2,-4,-2,-2,-4,
4,7,3418,14531,-4,-4,-4,-2,-2,1,-2,-2,1,
4,6,32,43,-2,1,1,-2,-2,1,-2,-2,2,
2,6,0,350,0,-2,-2,1,-2,-2,-2,-2,-2,
2,7,0,1524,-4,-4,-4,0,-2,-2,1,0,-2,
5,7,0,105200,-4,-4,-4,-2,-2,0,-2,-2,1,
5,6,0,139359,-2,0,0,-2,-2,1,-2,-2,-2,
5,5,3071,23716,-2,1,1,-2,-2,-2,-2,-2,-2,
2,5,0,28657,0,1,1,1,-2,-2,-2,-2,-2,
5,6,0,108850,-2,0,0,-2,-2,0,-2,-2,-2,
4,6,0,77408,-2,1,0,-2,-2,0,-2,-2,0,
4,5,0,68464,-2,2,0,-2,-2,0,-2,-2,-2,
4,4,2619,19402,-2,2,0,-2,-2,-2,-2,-2,-2,
5,4,3,495,2,0,1,1,-2,-2,-2,-2,-2,
6,4,0,42322,0,1,1,0,-2,-2,-2,-2,-2,
7,4,114,61,1,1,-4,1,-2,-4,-2,-2,-4,
3,7,0,7764,-4,-4,-4,0,-2,-2,1,2,-2,
2,7,0,12102,-4,-4,-4,0,-2,-2,1,1,-2,
1,5,956,3223,1,1,1,-2,-2,-2,-2,-2,-2,
6,5,0,6639,1,0,0,0,-2,-2,-2,-2,-2,
6,7,2141,18410,-4,-4,-4,-2,-2,1,-2,-2,-2,
1,7,24,5,-4,-4,-4,3,-2,-2,-2,-2,-2,
2,6,0,61785,0,1,-2,2,-2,-2,-2,-2,-2,
1,4,2187,9832,-2,0,-2,-2,-2,-2,-2,-2,-2,
0,5,0,22687,-4,0,0,-4,-2,0,-4,-2,1,
3,6,60,71,-2,1,1,-2,-2,1,-2,-2,1,
1,5,165,39097,1,2,1,-2,-2,-2,-2,-2,-2,
0,5,185,27,-4,1,2,-4,-2,2,-4,-2,-2,
7,6,621,38,1,1,-4,2,-2,-4,-2,-2,-4,
0,6,0,9553,-4,0,1,-4,-2,2,-4,-2,-2,
5,5,0,22740,-2,0,1,-2,-2,-2,-2,-2,-2,
1,5,472,518,1,1,2,-2,-2,-2,-2,-2,-2,
1,5,0,10902,0,1,2,-2,-2,-2,-2,-2,-2,
0,6,385,43,-4,2,2,-4,-2,-2,-4,-2,-2,
1,5,0,32010,0,0,0,2,-2,-2,-2,-2,-2,
1,4,0,1798,0,0,0,-2,-2,1,-2,-2,-2,
3,4,0,63203,0,2,-2,1,-2,-2,-2,-2,-2,
7,6,0,41928,0,0,-4,2,-2,-4,-2,-2,-4,
5,7,0,20590,-4,-4,-4,-2,-2,0,-2,-2,2,
5,6,0,37889,-2,0,0,-2,-2,2,-2,-2,-2,
5,5,219,232,-2,2,2,-2,-2,-2,-2,-2,-2,
6,5,0,2521,2,0,0,1,-2,-2,-2,-2,-2,
4,7,319,909,-4,-4,-4,-2,-2,1,-2,-2,2,
3,5,47,22,1,1,-2,3,-2,-2,-2,-2,-2,
2,7,57,2,-4,-4,-4,1,-2,-2,1,3,-2,
1,5,0,29648,0,1,1,-2,-2,-2,-2,-2,-2,
2,6,0,132939,1,-2,-2,1,-2,-2,0,-2,-2,
0,5,0,38833,-4,0,0,-4,-2,0,-4,-2,0,
2,5,0,98116,0,1,-2,0,-2,-2,0,-2,-2,
7,6,222,2,1,1,-4,3,-2,-4,-2,-2,-4,
7,6,0,30020,1,0,-4,2,-2,-4,-2,-2,-4,
2,4,0,49180,1,0,-2,1,-2,-2,-2,-2,-2,
0,3,5034,52172,-4,-2,1,-4,-2,-2,-4,-2,-2,
0,4,69,68,-4,1,1,-4,-2,1,-4,1,-2,
7,6,0,351,0,0,-4,-2,-2,-4,-2,-2,-4,
4,6,0,12497,-2,0,0,-2,-2,0,-2,-2,2,
6,4,348,454,2,1,1,-2,-2,-2,-2,-2,-2,
3,6,357,378,1,-2,-2,2,-2,-2,2,-2,-2,
3,7,45,17,-4,-4,-4,1,-2,-2,2,2,-2,
6,6,3216,12558,-2,-2,0,-2,-2,-2,-2,-2,-2,
6,7,0,3983,-4,-4,-4,-2,-2,0,-2,2,-2,
5,6,46,60,-2,1,1,-2,-2,2,-2,-2,-2,
6,7,0,7730,-4,-4,-4,-2,-2,0,-2,1,-2,
7,6,0,43863,1,0,-4,1,-2,-4,-2,-2,-4,
5,6,34,142,-2,1,1,-2,-2,1,-2,-2,-2,
6,7,0,148,-4,-4,-4,-2,-2,0,-2,0,-2,
5,5,452,1172,-2,3,0,-2,-2,-2,-2,-2,-2,
6,5,0,220,3,0,0,2,-2,-2,-2,-2,-2,
4,7,27,13,-4,-4,-4,-2,-2,2,-2,-2,3,
3,6,504,654,1,-2,-2,1,-2,-2,2,-2,-2,
5,6,0,15602,-2,-2,0,-2,-2,0,-2,-2,-2,
5,7,0,13742,-4,-4,-4,-2,-2,0,-2,1,0,
6,5,0,15034,1,0,-2,0,-2,-2,-2,-2,-2,
7,6,0,46862,0,0,-4,0,-2,-4,0,-2,-4,
3,6,0,36906,0,-2,-2,1,-2,-2,1,-2,-2,
2,6,878,2291,1,-2,-2,2,-2,-2,-2,-2,-2,
6,7,0,447,-4,-4,-4,-2,-2,0,-2,3,-2,
7,6,0,5621,1,0,-4,3,-2,-4,-2,-2,-4,
5,7,54,125,-4,-4,-4,-2,-2,1,-2,-2,3,
5,6,33,23,-2,1,1,-2,-2,3,-2,-2,-2,
5,6,0,192993,-2,1,0,-2,-2,1,-2,-2,-2,
5,5,398,1213,-2,2,1,-2,-2,-2,-2,-2,-2,
6,5,14,16,2,1,1,1,-2,-2,-2,-2,-2,
5,7,0,8597,-4,-4,-4,-2,-2,0,-2,0,0,
7,5,0,42,0,-2,-4,-2,-2,-4,-2,-2,-4,
7,6,0,139,0,0,-4,0,-2,-4,-2,1,-4,
4,6,0,20146,-2,-2,0,-2,-2,0,-2,-2,1,
4,7,0,3277,-4,-4,-4,-2,-2,0,-2,2,0,
4,5,269,37142,-2,2,0,-2,-2,1,-2,-2,-2,
7,6,0,29056,0,0,-4,0,-2,-4,1,-2,-4,
6,5,0,30319,1,0,-2,2,-2,-2,-2,-2,-2,
4,6,118,17,-2,2,1,-2,-2,1,-2,-2,2,
1,4,0,518,0,0,1,-2,-2,3,-2,-2,-2,
3,6,0,10811,0,-2,-2,1,-2,-2,2,-2,-2,
3,7,0,1636,-4,-4,-4,0,-2,-2,1,3,-2,
3,5,125,14,1,3,-2,2,-2,-2,-2,-2,-2,
1,5,156,82,1,1,3,-2,-2,-2,-2,-2,-2,
7,6,0,651,-2,0,-4,-2,-2,-4,-2,-2,-4,
6,4,0,48292,2,1,0,-2,-2,-2,-2,-2,-2,
5,4,270,31,-2,2,1,-2,-2,2,-2,-2,-2,
5,6,0,27271,-2,-2,0,-2,-2,0,-2,-2,0,
6,4,0,1170,0,0,0,-2,-2,0,-2,-2,-2,
5,3,0,2049,2,0,0,-2,-2,1,-2,-2,-2,
3,6,0,21963,-2,0,0,-2,-2,1,-2,-2,1,
2,7,142,8,-4,-4,-4,1,-2,-2,2,3,-2,
5,6,0,11379,-2,0,0,-2,-2,1,-2,-2,2,
1,5,902,2511,1,2,-2,-2,-2,-2,-2,-2,-2,
2,6,0,72,0,0,-2,2,-2,-2,3,-2,-2,
0,5,281,8,-4,1,2,-4,-2,3,-4,-2,-2,
4,7,0,32,-4,-4,-4,-2,-2,-2,0,-2,-2,
3,7,0,62,-4,-4,-4,0,-2,1,0,0,-2,
1,4,0,2380,0,0,1,-2,-2,1,-2,-2,-2,
4,6,0,52191,0,1,-2,0,-2,-2,1,-2,-2,
3,4,95,41,1,1,2,1,-2,-2,-2,-2,-2,
2,6,0,3,0,0,-2,2,-2,-2,4,-2,-2,
0,5,39,2,-4,1,2,-4,-2,4,-4,-2,-2,
6,4,0,143329,1,0,0,-2,-2,-2,-2,-2,-2,
0,6,0,44009,-4,0,2,-4,-2,-2,-4,-2,-2,
4,7,4449,47280,-4,-4,-4,-2,-2,-2,1,-2,-2,
3,7,0,406,-4,-4,-4,0,-2,1,0,1,-2,
1,5,116,49,1,2,3,-2,-2,-2,-2,-2,-2,
4,7,0,3,-4,-4,-4,0,-2,0,0,0,-2,
3,5,156,136,1,1,1,1,-2,-2,-2,-2,-2,
2,7,23,32,-4,-4,-4,1,-2,-2,3,-2,-2,
0,5,565,445,-4,2,-2,-4,-2,-2,-4,-2,-2,
0,6,199,23,-4,2,3,-4,-2,-2,-4,-2,-2,
3,4,138,94,1,-2,-2,1,-2,-2,3,-2,-2,
3,6,0,41301,1,-2,-2,2,-2,-2,1,-2,-2,
0,4,40,14,-4,1,1,-4,-2,1,-4,2,-2,
7,6,0,101228,1,0,-4,-2,-2,-4,-2,-2,-4,
5,6,1961,15121,-2,-2,1,-2,-2,1,-2,-2,-2,
4,6,326,69,1,-2,-2,1,-2,-2,1,2,-2,
6,6,10528,90534,-2,-2,1,-2,-2,-2,-2,-2,-2,
6,7,7,9,-4,-4,-4,-2,-2,1,-2,1,-2,
6,7,234,771,-4,-4,-4,-2,-2,2,-2,-2,-2,
6,5,161,21,2,1,1,2,-2,-2,-2,-2,-2,
4,5,228,4,1,2,-2,2,-2,-2,3,-2,-2,
3,6,9412,34482,2,-2,-2,-2,-2,-2,-2,-2,-2,
5,6,0,14549,-2,-2,0,-2,-2,1,-2,-2,-2,
5,7,0,6712,-4,-4,-4,-2,-2,0,-2,2,1,
2,4,0,9739,1,0,-2,-2,-2,-2,-2,-2,-2,
3,6,0,1253,0,-2,-2,0,-2,-2,0,0,-2,
1,4,27,2549,1,1,0,-2,-2,1,-2,-2,-2,
2,5,0,73,0,2,2,0,-2,-2,-2,-2,-2,
6,7,189,1146,-4,-4,-4,-2,-2,1,-2,3,-2,
7,6,206,13,2,1,-4,3,-2,-4,-2,-2,-4,
2,5,0,3020,1,1,0,-2,-2,0,-2,-2,-2,
1,5,147,102,1,1,1,-2,-2,1,-2,-2,-2,
2,4,22,8,1,1,3,1,-2,-2,-2,-2,-2,
2,7,7,8,-4,-4,-4,1,-2,-2,2,1,-2,
5,7,0,8113,-4,-4,-4,-2,-2,0,-2,1,1,
7,5,4255,44741,1,-2,-4,-2,-2,-4,-2,-2,-4,
7,6,0,2062,0,0,-4,1,-2,-4,-2,1,-4,
0,5,196,26,-4,1,1,-4,-2,1,-4,-2,2,
7,6,0,2,0,0,-4,1,-2,-4,-2,0,-4,
2,7,44,2,-4,-4,-4,2,-2,-2,4,-2,-2,
5,5,0,48121,-2,0,0,-2,-2,0,-2,-2,1,
6,7,566,3138,-4,-4,-4,-2,-2,1,-2,2,-2,
1,4,0,2447,0,0,1,-2,-2,2,-2,-2,-2,
4,7,4678,50111,-4,-4,-4,-2,-2,-2,-2,-2,1,
5,5,0,652,-2,0,0,-2,-2,1,-2,2,-2,
2,6,0,212,0,-2,-2,2,-2,-2,-2,-2,-2,
2,7,0,385,-4,-4,-4,0,-2,-2,2,2,-2,
1,5,278,309,1,2,2,-2,-2,-2,-2,-2,-2,
7,6,0,184,0,0,-4,0,-2,-4,-2,0,-4,
6,7,34,308,-4,-4,-4,1,-2,1,1,-2,-2,
6,6,179,65,1,1,1,1,-2,-2,1,-2,-2,
5,7,99,14,-4,-4,-4,-2,-2,1,-2,2,1,
2,7,0,690,-4,-4,-4,0,-2,-2,2,1,-2,
2,5,0,63,0,0,-2,2,-2,-2,2,-2,-2,
7,4,2168,18634,-2,1,-4,-2,-2,-4,-2,-2,-4,
2,7,0,84,-4,-4,-4,0,-2,-2,2,3,-2,
1,5,0,799,0,1,3,-2,-2,-2,-2,-2,-2,
2,4,197,8,1,2,3,2,-2,-2,-2,-2,-2,
3,5,114,114,1,1,-2,1,-2,-2,1,-2,-2,
3,4,0,3447,0,1,-2,3,-2,-2,-2,-2,-2,
4,5,0,883,0,-2,-2,1,-2,-2,3,-2,-2,
4,6,0,1059,0,-2,-2,0,-2,-2,1,1,-2,
1,7,29,4,-4,-4,-4,2,-2,-2,-2,3,-2,
6,5,49,12,2,1,-2,3,-2,-2,-2,-2,-2,
5,4,112,1149,2,1,0,-2,-2,1,-2,-2,-2,
4,4,106,68,-2,2,1,-2,-2,1,-2,-2,-2,
3,4,0,281,1,-2,-2,0,-2,-2,-2,-2,-2,
3,5,0,2271,1,-2,-2,1,-2,-2,0,1,-2,
4,7,0,521,-4,-4,-4,2,-2,0,-2,1,0,
3,7,0,407,-4,-4,-4,0,-2,1,1,1,-2,
1,4,0,571,0,0,0,-2,-2,2,-2,-2,-2,
3,4,0,11941,0,2,-2,2,-2,-2,-2,-2,-2,
2,6,0,1053,1,-2,-2,1,-2,-2,0,0,-2,
6,7,77,35,-4,-4,-4,-2,-2,1,-2,1,1,
2,6,182,48,1,-2,-2,2,-2,-2,3,-2,-2,
3,2,0,58697,1,0,1,-2,-2,-2,-2,-2,-2,
5,6,0,41658,-2,1,0,-2,-2,2,-2,-2,-2,
5,5,28,99,-2,1,2,-2,-2,-2,-2,-2,-2,
2,5,0,317,0,2,-2,-2,-2,-2,-2,-2,-2,
1,5,0,319,0,0,2,-2,-2,2,-2,-2,-2,
2,7,0,2142,-4,-4,-4,0,-2,-2,3,-2,-2,
3,7,0,3,-4,-4,-4,0,-2,0,1,1,-2,
4,6,630,1811,-2,-2,-2,2,-2,-2,1,-2,-2,
1,5,0,153,0,0,2,-2,-2,3,-2,-2,-2,
4,6,2768,11681,-2,-2,1,-2,-2,1,-2,-2,1,
0,0,0,128,-4,0,-2,-4,-2,-2,-4,-4,-4,
1,0,0,134335,0,0,-2,0,-2,-2,-4,-4,-4,
2,1,0,9291,1,-2,-2,0,-2,-2,0,-2,-2,
2,3,125,124,1,-2,-2,1,-2,-2,1,1,-2,
1,5,234,67,1,1,1,-2,-2,2,-2,-2,-2,
2,6,0,4795,0,0,-2,3,-2,-2,-2,-2,-2,
7,6,0,836,0,0,-4,1,-2,-4,-2,2,-4,
4,6,0,356239,-2,-2,-2,1,-2,-2,0,-2,-2,
3,7,68,67,-4,-4,-4,1,-2,-2,1,1,2,
3,7,89,61,-4,-4,-4,1,-2,-2,1,1,1,
3,6,5760,51312,-2,-2,-2,1,-2,-2,1,-2,-2,
4,6,0,81915,-2,0,0,-2,-2,0,-2,-2,0,
3,6,0,2269,-2,-2,0,-2,-2,0,-2,0,0,
4,3,10478,90018,-2,1,-2,-2,-2,-2,-2,-2,-2,
5,4,0,355,0,0,0,1,-2,-2,1,-2,-2,
3,3,0,24406,-2,0,1,-2,-2,1,-2,-2,-2,
2,6,0,201978,-2,-2,-2,-2,-2,1,-2,-2,0,
1,7,10,12,-4,-4,-4,2,-2,-2,-2,-2,2,
0,0,23445,128825,-4,-2,-2,-4,-2,-2,-4,-4,-4,
4,7,80,21,-4,-4,-4,-2,-2,2,-2,-2,2,
4,6,0,1824,-2,-2,0,-2,-2,0,-2,1,1,
3,6,773,2709,-2,-2,-2,-2,-2,0,-2,-2,1,
4,7,0,532,-4,-4,-4,-2,-2,0,0,0,0,
2,7,0,33708,-4,-4,-4,-2,-2,-2,-2,-2,0,
1,7,38,308,-4,-4,-4,2,-2,1,-2,-2,-2,
6,5,0,1812,2,0,0,3,-2,-2,-2,-2,-2,
4,6,30,6,-2,1,1,-2,-2,2,-2,-2,3,
4,7,435,1981,-4,-4,-4,1,-2,-2,1,-2,2,
4,6,7,3,1,2,-2,1,-2,2,-2,-2,-2,
0,1,0,101348,-4,-2,-2,-4,-2,-2,-4,0,-2,
1,0,0,90078,1,1,-2,0,-2,-2,-4,-4,-4,
0,2,1757,6623,-4,-2,-2,-4,-2,-2,-4,1,1,
5,7,0,345,-4,-4,-4,-2,-2,0,-2,0,1,
4,6,0,1284,-2,-2,0,-2,-2,0,-2,2,1,
5,4,64,37,2,1,-2,2,-2,-2,-2,-2,-2,
3,6,248,217,-2,-2,1,-2,-2,2,-2,-2,2,
3,5,36,10,-2,2,2,-2,-2,2,-2,-2,2,
2,6,148,19,1,-2,-2,1,-2,-2,2,2,-2,
2,4,0,36,0,0,3,-2,-2,-2,-2,-2,-2,
3,4,0,5578,0,3,-2,0,-2,-2,-2,-2,-2,
3,5,295,86,1,2,-2,1,-2,-2,1,-2,-2,
1,1,0,192629,-2,-2,-2,0,-2,-2,0,-2,-2,
1,0,0,157056,0,1,-2,0,-2,-2,-4,-4,-4,
0,2,0,94425,-4,-2,-2,-4,-2,-2,-4,0,1,
1,2,0,121075,-2,-2,-2,0,-2,-2,0,1,-2,
3,5,0,63950,1,2,-2,0,-2,-2,-2,-2,-2,
3,6,0,37312,-2,-2,0,-2,-2,1,-2,-2,1,
3,5,0,95981,1,1,-2,0,-2,-2,-2,-2,-2,
3,7,50,130,-4,-4,-4,1,-2,1,1,1,-2,
3,6,0,17282,-2,2,0,-2,-2,0,-2,-2,0,
5,6,229,290,-2,-2,1,-2,-2,1,-2,-2,2,
2,4,268,80,1,1,1,2,-2,-2,-2,-2,-2,
0,2,0,119106,-4,-2,-2,-4,-2,-2,-4,0,0,
1,2,0,66156,-2,-2,-2,0,-2,-2,0,0,-2,
2,0,0,294,0,-2,-2,0,-2,-2,-4,-4,-4,
2,1,0,587,0,0,-2,0,-2,-2,0,0,-2,
1,3,0,56036,-2,-2,-2,1,-2,-2,0,0,0,
2,3,0,56332,-2,-2,-2,1,-2,-2,0,0,-2,
3,2,0,69212,1,1,-2,0,-2,-2,0,-2,-2,
3,1,0,415,0,1,-2,0,-2,-2,0,0,-2,
0,5,65,158,-4,1,2,-4,-2,-2,-4,2,-2,
1,5,547,18,1,2,-2,2,-2,-2,2,-2,-2,
0,1,692,5443,-4,-2,-2,-4,-2,-2,-4,1,-2,
3,6,0,25,0,-2,-2,0,-2,-2,3,-2,-2,
1,2,0,18844,-2,-2,-2,2,-2,-2,0,1,-2,
2,1,16,20,2,1,-2,1,-2,-2,1,-2,-2,
2,0,127,41,1,1,-2,1,-2,-2,-4,-4,-4,
3,4,70,8,1,1,3,2,-2,-2,-2,-2,-2,
7,6,0,3616,2,0,-4,2,-2,-4,-2,-2,-4,
5,6,457,1384,-2,-2,1,-2,-2,2,-2,-2,-2,
5,7,12,12,-4,-4,-4,-2,-2,1,-2,1,2,
0,4,5579,26420,-4,-2,2,-4,-2,-2,-4,-2,-2,
0,5,253,1,-4,1,1,-4,-2,2,-4,3,-2,
7,6,0,1596,0,0,-4,1,-2,-4,3,-2,-4,
5,6,12,45,-2,-2,0,-2,-2,1,-2,-2,3,
3,6,152,13,1,-2,-2,1,-2,-2,2,3,-2,
5,6,0,96051,-2,-2,1,-2,-2,1,-2,-2,0,
5,7,24,12,-4,-4,-4,-2,-2,1,-2,2,2,
6,5,0,181,0,0,0,1,-2,-2,2,-2,-2,
4,5,0,12740,-2,-2,0,-2,-2,1,-2,-2,2,
3,6,4163,37060,-2,-2,-2,-2,-2,1,-2,-2,1,
5,7,79,3,-4,-4,-4,-2,-2,1,-2,3,2,
3,7,75,174,-4,-4,-4,1,-2,-2,2,-2,3,
3,7,5264,24090,-4,-4,-4,-2,-2,-2,2,-2,-2,
2,7,254,1,-4,-4,-4,1,-2,2,1,2,-2,
2,2,0,34895,-2,-2,-2,0,-2,-2,1,-2,-2,
2,1,0,21183,0,1,-2,1,-2,-2,1,-2,-2,
2,0,751,51,1,2,-2,1,-2,-2,-4,-4,-4,
2,7,15,2,-4,-4,-4,1,-2,1,1,2,-2,
1,0,0,54720,1,2,-2,0,-2,-2,-4,-4,-4,
0,2,470,975,-4,-2,-2,-4,-2,-2,-4,1,2,
1,2,294,34,-2,-2,-2,2,-2,-2,1,2,-2,
6,5,0,6439,1,0,0,3,-2,-2,-2,-2,-2,
4,6,76,34,-2,-2,1,-2,-2,2,-2,-2,3,
3,4,89,12,1,1,1,-2,-2,3,-2,-2,-2,
6,5,0,33328,1,0,0,1,-2,-2,-2,-2,-2,
1,4,120,21,1,1,2,-2,-2,2,-2,-2,-2,
7,6,0,12401,0,0,-4,1,-2,-4,1,-2,-4,
4,6,0,836,-2,-2,0,-2,-2,0,-2,0,1,
0,4,293,5,-4,1,1,-4,-2,2,-4,-2,2,
1,0,1313,5108,1,-2,-2,1,-2,-2,-4,-4,-4,
1,1,23,71,-2,-2,-2,1,-2,-2,1,1,-2,
1,0,0,40481,0,2,-2,0,-2,-2,-4,-4,-4,
0,2,0,18332,-4,-2,-2,-4,-2,-2,-4,0,2,
1,2,0,32683,-2,-2,-2,0,-2,-2,0,2,-2,
2,2,350,332,-2,-2,-2,2,-2,-2,2,-2,-2,
2,2,0,92286,-2,-2,-2,2,-2,-2,0,-2,-2,
2,1,0,11401,2,1,-2,0,-2,-2,0,-2,-2,
1,1,114,74,-2,-2,-2,1,-2,-2,1,2,-2,
1,1,3608,28495,-2,-2,-2,-2,-2,-2,1,-2,-2,
3,7,25,23,-4,-4,-4,1,-2,2,1,1,-2,
1,1,0,908,-2,-2,-2,-2,-2,-2,0,-2,-2,
0,1,0,137,-4,-2,-2,-4,-2,0,-4,0,-2,
0,4,72,303,-4,1,1,-4,-2,-2,-4,1,-2,
